NARA Name,NAID,Type,Date,Images,First Image
"COMDESRON 22 - Action Report, 7/17-18/43",78132617,After Action,19430717,12,https://s3.amazonaws.com/NARAprodstorage/lz/microfilm-publications/WWII_WarDiaries/0000/A_0457/images/1029.jpg
"COMDESRON 22 - Act Rep, Bougainville, 11/17/43",78349930,After Action,19431117,12,https://s3.amazonaws.com/NARAprodstorage/lz/microfilm-publications/WWII_WarDiaries/0000/A_0877_Redelivery/A_0877/images/0748.jpg
"COMDESRON 22 - Action Report, 8/25-27/43",78155423,After Action,19430825,1,https://s3.amazonaws.com/NARAprodstorage/lz/microfilm-publications/WWII_WarDiaries/0000/A_0519/images/0027.jpg
"COMDESRON 22 - Act Rep, 2/15/44, Green Is",78321466,After Action,19440215,3,https://s3.amazonaws.com/NARAprodstorage/lz/microfilm-publications/WWII_WarDiaries/0000/A_0844_Redelivery/A_0844/images/0174.jpg
COMDESRON 22 - Act Rep Covering Ops 8/16-19/43,78155408,After Action,19430816,10,https://s3.amazonaws.com/NARAprodstorage/lz/microfilm-publications/WWII_WarDiaries/0000/A_0519/images/0010.jpg
"COMDESRON 22 - Collision between WALLER & PHILIP, Night of 8/17/43",135924544,After Action,19430817,12,https://s3.amazonaws.com/NARAprodstorage/lz/microfilm-publications/WWII_WarDiaries/0006/16461cc8-9d06-4795-8712-ac5bb695ba85/export_WWII_WarDiaries_0508_171554/images/0183.jpg
"COMDESRON 22 - Act Rep, Bombardment of Choiseul Bay Area, 2/1/44",78297650,After Action,19440201,8,https://s3.amazonaws.com/NARAprodstorage/lz/microfilm-publications/WWII_WarDiaries/0000/A_0818_Redelivery/A_0818/images/0811.jpg
"COMDESRON 22 - Landings on & occup Of Vella Lavella, 8/14-16/43",78155403,After Action,19430814,4,https://s3.amazonaws.com/NARAprodstorage/lz/microfilm-publications/WWII_WarDiaries/0000/A_0519/images/0004.jpg
COMDESRON 22 - Act Rep Covering Ops 8/30/43 to 9/1/43,78155425,After Action,19430830,2,https://s3.amazonaws.com/NARAprodstorage/lz/microfilm-publications/WWII_WarDiaries/0000/A_0519/images/0030.jpg
"COMDESRON 22 - USS WALLER AA Act Rep, 12/10/43 Empress Augusta Bay, Bougainville",78415051,After Action,19431210,5,https://s3.amazonaws.com/NARAprodstorage/lz/microfilm-publications/WWII_WarDiaries/0000/A_0944/A_0944/images/0217.jpg
"COMDESRON 22 - Rep of Second Sweep of Camotes Sea, Philippines, 11/29-30/44",78705048,After Action,19441129,16,https://s3.amazonaws.com/NARAprodstorage/lz/microfilm-publications/WWII_WarDiaries/0000/A_1286/images/0366.jpg
"COMDESRON 22 - War Diary, 10/1-6/43 (Action Report – 10/1-3/43)",78211352,After Action,19431001,8,https://s3.amazonaws.com/NARAprodstorage/lz/microfilm-publications/WWII_WarDiaries/0000/A_0605/images/0264.jpg
"COMDESRON 22 - Act Rep, Minor Brush With Enemy Shore Battery, Eastern Buka Passage, 2/1/44",78300202,After Action,19440201,3,https://s3.amazonaws.com/NARAprodstorage/lz/microfilm-publications/WWII_WarDiaries/0000/A_0821_Redelivery/A_0821/images/1335.jpg
"COMDESRON 22 - Act Rep, Bombardment NE Bougainville, 1/19/44 and Empress Augusta Bay Area, 1/20/44",78289583,After Action,19440119,37,https://s3.amazonaws.com/NARAprodstorage/lz/microfilm-publications/WWII_WarDiaries/0000/A_0808_Redelivery/A_0808/images/0787.jpg
"COMDESRON 22 - Rep of Bombardment of Cape St George Radar Sta, Borpop & Namatanai Airfield, New Ireland, night of 2/29/44 and 3/1/44",78345682,After Action,19440229,12,https://s3.amazonaws.com/NARAprodstorage/lz/microfilm-publications/WWII_WarDiaries/0000/A_0872_Redelivery/A_0872/images/0595.jpg
"COMDESRON 22 - Rep of Bombardment of Ormoc Bay Area, Leyte Is, & Surface Act with & Sinking of Jap Sub in Camotes Sea, Philippines, Night of 11/27-28/44",78700143,After Action,19441127,18,https://s3.amazonaws.com/NARAprodstorage/lz/microfilm-publications/WWII_WarDiaries/0000/A_1280/images/0305.jpg
"COMDESRON 22 - War Diary, 4/1-30/43",134171663,War Diary,19430401,11,https://s3.amazonaws.com/NARAprodstorage/lz/microfilm-publications/WWII_WarDiaries/0005/8f4a65ab-40df-4119-a938-713818c8b391/export_WWII_WarDiaries_0324_164308/images/0903.jpg
"COMDESRON 22 - War Diary, 5/1-28/43",134224910,War Diary,19430501,9,https://s3.amazonaws.com/NARAprodstorage/lz/microfilm-publications/WWII_WarDiaries/0005/90db84e3-49b4-474c-9a32-47bb0f8d266d/export_WWII_WarDiaries_0377_166080/images/0470.jpg
"COMDESRON 22 - War Diary, 5/29/43 to 6/30/43",134288242,War Diary,19430601,7,https://s3.amazonaws.com/NARAprodstorage/lz/microfilm-publications/WWII_WarDiaries/0005/80dd94bc-ec17-4ffe-a5a3-7613491dac10/export_WWII_WarDiaries_0440_167630/images/0141.jpg
"COMDESRON 22 - War Diary, 7/1-31/43",135938121,War Diary,19430701,11,https://s3.amazonaws.com/NARAprodstorage/lz/microfilm-publications/WWII_WarDiaries/0006/5fefb150-ba94-4390-ba5d-11772a17d6bd/export_WWII_WarDiaries_0537_169278/images/0481.jpg
"COMDESRON 22 - War Diary, 7/1-31/43 (Act Rep)",135901843,War Diary,19430701,12,https://s3.amazonaws.com/NARAprodstorage/lz/microfilm-publications/WWII_WarDiaries/0006/export_WWII_WarDiaries_0468_167679/images/0038.jpg
"COMDESRON 22 - War Diary, 8/1/43 to 9/30/43",78216959,War Diary,19430801,19,https://s3.amazonaws.com/NARAprodstorage/lz/microfilm-publications/WWII_WarDiaries/0000/A_0613/A_0613/images/0476.jpg
"COMDESRON 22 - War Diary, 10/6/43 to 11/30/43",136025817,War Diary,19431001,20,https://s3.amazonaws.com/NARAprodstorage/lz/microfilm-publications/WWII_WarDiaries/0006/5b15f0df-015c-4f79-981d-dd70481d678a/export_WWII_WarDiaries_0719_171737/images/0057.jpg
"COMDESRON 22 - War Diary, 12/1-31/43",78279113,War Diary,19431201,15,https://s3.amazonaws.com/NARAprodstorage/lz/microfilm-publications/WWII_WarDiaries/0000/A_0796_Redelivery/A_0796/images/1024.jpg
"COMDESRON 22 - War Diary, 1/1-31/44",78296668,War Diary,19440101,14,https://s3.amazonaws.com/NARAprodstorage/lz/microfilm-publications/WWII_WarDiaries/0000/A_0817_Redelivery/A_0817/images/0619.jpg
"COMDESRON 22 - War Diary, 2/1-27/44",78328174,War Diary,19440201,11,https://s3.amazonaws.com/NARAprodstorage/lz/microfilm-publications/WWII_WarDiaries/0000/A_0851_Redelivery/A_0851/images/0732.jpg
"COMDESRON 22 - War Diary, 2/28/44 to 3/31/44",78409638,War Diary,19440301,15,https://s3.amazonaws.com/NARAprodstorage/lz/microfilm-publications/WWII_WarDiaries/0000/A_0937/A_0937/images/0877.jpg
"COMDESRON 22 - War Diary, 4/1-30/44",78432835,War Diary,19440401,13,https://s3.amazonaws.com/NARAprodstorage/lz/microfilm-publications/WWII_WarDiaries/0000/A_0964/A_0964/images/0831.jpg
"COMDESRON 22 - War Diary, 5/1-31/44",78460912,War Diary,19440501,13,https://s3.amazonaws.com/NARAprodstorage/lz/microfilm-publications/WWII_WarDiaries/0000/A_0996/A_0996/images/0744.jpg
"COMDESRON 22 - War Diary, 6/1-30/44",78507372,War Diary,19440601,29,https://s3.amazonaws.com/NARAprodstorage/lz/microfilm-publications/WWII_WarDiaries/0000/A_1035/images/1117.jpg
"COMDESRON 22 - War Diary, 7/1-31/44",78587232,War Diary,19440701,25,https://s3.amazonaws.com/NARAprodstorage/lz/microfilm-publications/WWII_WarDiaries/0000/A_1110/images/0496.jpg
"COMDESRON 22 - War Diary, 8/1-31/44",78601199,War Diary,19440801,12,https://s3.amazonaws.com/NARAprodstorage/lz/microfilm-publications/WWII_WarDiaries/0000/A_1122/images/0610.jpg
"COMDESRON 22 - War Diary, 8/1-12/44",78587216,War Diary,19440812,7,https://s3.amazonaws.com/NARAprodstorage/lz/microfilm-publications/WWII_WarDiaries/0000/A_1110/images/0478.jpg
"COMDESRON 22 - War Diary, 9/1/44 to 10/31/44",78652704,War Diary,19440901,7,https://s3.amazonaws.com/NARAprodstorage/lz/microfilm-publications/WWII_WarDiaries/0000/A_1232/A_1232/images/0573.jpg
"COMDESRON 22 - War Diary, 11/1-30/44",78717331,War Diary,19441101,26,https://s3.amazonaws.com/NARAprodstorage/lz/microfilm-publications/WWII_WarDiaries/0000/A_1298/images/0158.jpg
"COMDESRON 22 - War Diary, 12/1-31/44",139823133,War Diary,19441201,19,https://s3.amazonaws.com/NARAprodstorage/lz/microfilm-publications/WWII_WarDiaries/0007/export_WWII_WarDiaries_1363_200152/images/0142.jpg
"COMDESRON 22 - War Diary, 1/1-31/45",139843084,War Diary,19450101,26,https://s3.amazonaws.com/NARAprodstorage/lz/microfilm-publications/WWII_WarDiaries/0007/export_WWII_WarDiaries_1385_200151/images/0157.jpg
"COMDESRON 22 - War Diary, 2/1-28/45",139896487,War Diary,19450201,15,https://s3.amazonaws.com/NARAprodstorage/lz/microfilm-publications/WWII_WarDiaries/0007/export_WWII_WarDiaries_1435_200286/images/0254.jpg
"COMDESRON 22 - War Diary, 3/1-31/45",139968791,War Diary,19450301,12,https://s3.amazonaws.com/NARAprodstorage/lz/microfilm-publications/WWII_WarDiaries/0007/export_WWII_WarDiaries_1521_200294/images/0028.jpg
"War Diary, 4/1-30/45",4697018,War Diary,19450401,11,https://www.fold3.com/image/296184174/war-diary-41-3045-page-1-wwii-war-diaries
"COMDESRON 22 - War Diary, 5/1-31/45",140025931,War Diary,19450501,5,https://s3.amazonaws.com/NARAprodstorage/lz/microfilm-publications/WWII_WarDiaries/0007/export_WWII_WarDiaries_1636_201219/images/0126a.jpg
"COMDESRON 22 - War Diary, 6/1-30/45",101735396,War Diary,19450601,13,https://s3.amazonaws.com/NARAprodstorage/lz/microfilm-publications/WWII_WarDiaries/0003/200279/A_1741/A_1741/images/1020.jpg
"COMDESRON 22 - War Diary, 7/1-31/45",101778028,War Diary,19450701,16,https://s3.amazonaws.com/NARAprodstorage/lz/microfilm-publications/WWII_WarDiaries/0003/200279/A_1793/A_1793/images/0727.jpg
"COMDESRON 22 - War Diary, 8/1-31/45",77527880,War Diary,19450801,8,https://s3.amazonaws.com/NARAprodstorage/lz/microfilm-publications/WWII_WarDiaries/0001/A_1913/A_1913/images/0405.jpg
"COMDESRON 22 - War Diary, 9/1-30/45",77580086,War Diary,19450901,9,https://s3.amazonaws.com/NARAprodstorage/lz/microfilm-publications/WWII_WarDiaries/0001/A_1969/A_1969/images/0365.jpg
"COMDESRON 22 - War Diary, 10/1-31/45",77591822,War Diary,19451001,8,https://s3.amazonaws.com/NARAprodstorage/lz/microfilm-publications/WWII_WarDiaries/0001/A_1982/A_1982/images/1180.jpg
"COMDESRON 22 - War Diary, 11/1-30/45",140086441,War Diary,19451101,5,https://s3.amazonaws.com/NARAprodstorage/lz/microfilm-publications/WWII_WarDiaries/0007/export_WWII_WarDiaries_2012_216975/images/0698.jpg
"COMDESRON 22 - War Diary, 12/1-30/45",77584826,War Diary,19451201,7,https://s3.amazonaws.com/NARAprodstorage/lz/microfilm-publications/WWII_WarDiaries/0001/A_1974/A_1974/images/0647.jpg
"COMDESDIV 43 - War Diary, 2/14/43 to 4/30/43",134199116,War Diary,19430214,13,https://s3.amazonaws.com/NARAprodstorage/lz/microfilm-publications/WWII_WarDiaries/0005/8f4a65ab-40df-4119-a938-713818c8b391/export_WWII_WarDiaries_0350_164461/images/0590.jpg
"COMDESEIV 43 - War Diary, 5/1-31/43",134224871,War Diary,19430501,15,https://s3.amazonaws.com/NARAprodstorage/lz/microfilm-publications/WWII_WarDiaries/0005/90db84e3-49b4-474c-9a32-47bb0f8d266d/export_WWII_WarDiaries_0377_166080/images/0382.jpg
"COMTASK-GROUP 36.2 - Anti-Sub Action Rep., 7/7-8/43",135946458,After Action,19430707,2,https://s3.amazonaws.com/NARAprodstorage/lz/microfilm-publications/WWII_WarDiaries/0006/5fefb150-ba94-4390-ba5d-11772a17d6bd/export_WWII_WarDiaries_0547_169285/images/0520.jpg
"COMTASK-GROUP 36.2 - Minelaying & bombardment, conducted Shortland â Faisi â Kolumbangara Areas, 6/29-30/43",134286997,After Action,19430629,20,https://s3.amazonaws.com/NARAprodstorage/lz/microfilm-publications/WWII_WarDiaries/0005/80dd94bc-ec17-4ffe-a5a3-7613491dac10/export_WWII_WarDiaries_0437_167415/images/0009.jpg
"COMTASK-GROUP 31.1 - Treasury Islands, 10/27/43",135991105,After Action,19431027,52,https://s3.amazonaws.com/NARAprodstorage/lz/microfilm-publications/WWII_WarDiaries/0006/2ee89728-f9c1-418d-855e-337d0c331e8d/export_WWII_WarDiaries_0669_169948/images/1068.jpg
"COMTASK-GROUP 31.6 - Action 5th Echelon Northern Force, Empress Augusta Bay, 11/15-21/43",78232762,After Action,19431115,6,https://s3.amazonaws.com/NARAprodstorage/lz/microfilm-publications/WWII_WarDiaries/0000/A_0755_Redelivery/A_0755/images/0410.jpg
"COMTASK-GROUP 77.2 - Rep of ops in Leyte Gulf, Leyte Is, Philippines 11/16/44 â 12/2/44",139978114,After Action,19441116,8,https://s3.amazonaws.com/NARAprodstorage/lz/microfilm-publications/WWII_WarDiaries/0007/export_WWII_WarDiaries_1544_200940/images/0951.jpg
"COMTASK-GROUP 78.2 - Rep of the assault landing at Nasugbu, Luzon Is, Philippines, 1/31/45 - 2/4/45",139918908,After Action,19450131,20,https://s3.amazonaws.com/NARAprodstorage/lz/microfilm-publications/WWII_WarDiaries/0007/export_WWII_WarDiaries_1461_200325/images/0302.jpg
"COMTASK-GROUP 78.2 - Rep of the assault landings in the Balikpapan-Manggar Area, Borneo, 6/15/45-7/7/45",83523931,After Action,19450615,142,https://s3.amazonaws.com/NARAprodstorage/lz/microfilm-publications/WWII_WarDiaries/0002/A_1807/A_1807/images/0536.jpg
"COMTASK-GROUP 76.10 - Rep of the invasions & resupply of Sanga Sanga & Jolo Is, Sulu Archipelago, Philippines 4/2-11/45",139979909,After Action,19450402,43,https://s3.amazonaws.com/NARAprodstorage/lz/microfilm-publications/WWII_WarDiaries/0007/export_WWII_WarDiaries_1553_200900/images/0550.jpg
"COMTASKFOR 67 - War Diary, 1/1-31/43",134093985,War Diary,19430101,32,https://s3.amazonaws.com/NARAprodstorage/lz/microfilm-publications/WWII_WarDiaries/0005/6b10d65a-621e-4be9-85a6-527ed8933a95/export_WWII_WarDiaries_0238_163982/images/0489.jpg
"COMTASKFOR 31 - War Diary, 7/1/43 to 8/31/43",78188702,War Diary,19430701,396,https://s3.amazonaws.com/NARAprodstorage/lz/microfilm-publications/WWII_WarDiaries/0000/A_0578/images/0004.jpg
"COMTASKFOR 52 - Report of the Capture of Tinian Island, Marianas, Period 7/8/44 to 8/1/44",78590847,After Action,19440708,173,https://s3.amazonaws.com/NARAprodstorage/lz/microfilm-publications/WWII_WarDiaries/0000/A_1113/images/0148.jpg
"COMTASKFOR 73 - Report of operations in support of SEVENTH Fleet Occupation of Strategic areas in Korea, North China, South China & Formosa, 9/7/45 - 11/25/45",77582815,After Action,19450907,293,https://s3.amazonaws.com/NARAprodstorage/lz/microfilm-publications/WWII_WarDiaries/0001/A_1972/A_1972/images/0871.jpg
"COMDESDIV 44 - Act Rep, Torokina Area, 3/2-17/44",78354781,After Action,19440302,7,https://s3.amazonaws.com/NARAprodstorage/lz/microfilm-publications/WWII_WarDiaries/0000/A_0883_Redelivery/A_0883/images/0268.jpg
"COMTASKFOR 31 - Act Rep, Rep of Seizure & Occupation of Emirau Is, 3/20/44 – 4/7/44",78385964,After Action,19440320,20,https://s3.amazonaws.com/NARAprodstorage/lz/microfilm-publications/WWII_WarDiaries/0000/A_0910/A_0910/images/0209.jpg
